,commdity_names,unit_names,2004,2005
0,"Metals:Aluminum, secondary, including unspecified metalse",metric_tons,100.0,100.0
1,"Metals:Arsenic, whitee",metric_tons,1200.0,--
2,"Metals:Bismuth, metale",metric_tons,500.0,500.0
3,"Metals:Cobalt, primary3",metric_tons,2947.0,3298.0
4,"Metals:Copper:Smelter, secondary",metric_tons,107700.0,97200.0
5,"Metals:Copper:Refined, primary and secondary",metric_tons,383000.0,382000.0
6,Metals:Iron and steel:Pig iron,thousand metric tons,8224.0,7254.0
7,Metals:Iron and steel:Steel:Crude,thousand metric tons,11698.0,8906.0
8,Metals:Iron and steel:Steel:Hot-rolled products,thousand metric tons,13269.0,11274.0
9,"Metals:Lead, refined, secondary",metric_tons,63400.0,63400.0
10,Metals:Seleniume,metric_tons,200.0,200.0
11,"Metals:Tin, metal, secondary including alloys",metric_tons,8900.0,7800.0
12,Metals:Zinc:Slab:Primary,metric_tons,257000.0,222000.0
13,"Metals:Zinc:Slab:Secondary, possibly remelted zinc",metric_tons,46000.0,40000.0
14,Metals:Zinc:Powdere,metric_tons,20000.0,20000.0
15,Industrial minerals:Baritee,metric_tons,27.0,27.0
16,Industrial minerals:Cement,thousand metric tons,7379.0,7594.0
17,"Industrial minerals:Clay, kaoline",thousand metric tons,459.0,460.0
18,"Industrial minerals:Lime and dead-burned dolomite, quicklimee",thousand metric tons,2400.0,2300.0
19,"Industrial minerals:Nitrogen, N content of ammonia",thousand metric tons,857.0,890.0
20,Industrial minerals:Sodium sulfatee,thousand metric tons,250.0,250.0
21,Industrial minerals:Stone:Worked,metric_tons,21649.0,21188.0
22,Industrial minerals:Stone:Natural (excluding slate),metric_tons,399246.0,460206.0
23,Industrial minerals:Sulfur:Byproducts:eElemental,metric_tons,225000.0,225000.0
24,Industrial minerals:Sulfur:Byproducts:eOther forms,metric_tons,175000.0,175000.0
25,Industrial minerals:Sulfur:Sulfuric acid,thousand metric tons,1332.0,1332.0
26,Mineral fuels and related materials:Carbon blacke,thousand metric tons,1000.0,1000.0
27,"Mineral fuels and related materials:Coke, all types",thousand metric tons,3200.0,2599.0
28,"Mineral fuels and related materials:Gas, manufactured",thousand cubic meters,340000.0,472478.0
29,Mineral fuels and related materials:Petroleum refinery products:5Liquefied petroleum gas,thousand 42-gallon barrels,12304.0,10669.0
30,Mineral fuels and related materials:Petroleum refinery products:5Naphtha and white spirit,thousand cubic meters,20540.0,14531.0
31,Mineral fuels and related materials:Petroleum refinery products:5Gasoline,thousand cubic meters,57894.0,50562.0
32,Mineral fuels and related materials:Petroleum refinery products:5Kerosene,thousand cubic meters,95533.0,13005.0
33,"Mineral fuels and related materials:Petroleum refinery products:5Kerosene, other",thousand cubic meters,--,500.0
34,Mineral fuels and related materials:Petroleum refinery products:5Distillate fuel oil,thousand cubic meters,--,89056.0
35,Mineral fuels and related materials:Petroleum refinery products:5Refinery gas,thousand cubic meters,--,3682.0
36,Mineral fuels and related materials:Petroleum refinery products:5Residual fuel oil,thousand cubic meters,55811.0,53563.0
37,Mineral fuels and related materials:Petroleum refinery products:5Bitumen,thousand cubic meters,5331.0,6523.0
38,Country and commodity,metric_tons,2004.0,2005.0
39,"Metals, steel:Crude",thousand metric tons,2684.0,2194.0
40,"Metals, steel:Hot-rolled products",thousand metric tons,2801.0,2564.0
41,"Industrial minerals:Cement, hydraulice",metric_tons,700000.0,700000.0
42,"Industrial minerals:Phosphates, Thomas slag:eGross weight",metric_tons,475000.0,475000.0
43,"Industrial minerals:Phosphates, Thomas slag:eP2O5 content",metric_tons,70000.0,70000.0
