,commdity_names,unit_names,2011,2012
0,"Aluminum:Bauxite, gross weight",thousand metric tons,45000.0,47000.0
1,Aluminum:Alumina,thousand metric tons,34100.0,37700.0
2,Aluminum:Metal:Primary,thousand metric tons,20100.0,23500.0
3,Aluminum:Metal:Secondary,thousand metric tons,4400.0,4830.0
4,"Antimony:Mine, Sb content",metric_tons,150000.0,136000.0
5,Antimony:Metal,metric_tons,200000.0,240000.0
6,"Bismuth:Mine output, Bi content",metric_tons,1540.0,2500.0
7,Bismuth:Metal,metric_tons,15000.0,15000.0
8,"Cadmium, smelter",metric_tons,6670.0,7270.0
9,"Chromite, gross weight",thousand metric tons,211.0,123.0
10,"Cobalt:Mine output, Co content",metric_tons,1500.0,1500.0
11,Cobalt:Refined ,metric_tons,35000.0,29800.0
12,"Copper:Mine output, Cu content",thousand metric tons,1270.0,1550.0
13,"Copper:Metal:Smelter, primary",thousand metric tons,3030.0,3600.0
14,Copper:Metal:Refined:Primary,thousand metric tons,3390.0,3930.0
15,Copper:Metal:Refined:Secondary,thousand metric tons,1850.0,1950.0
16,Germanium,metric_tons,110.0,105.0
17,"Gold, mine output, Au content",metric_tons,362.0,403.0
18,"Indium, primary and secondary",metric_tons,380.0,405.0
19,"Iron and steel:Iron ore:Crude ore, gross weight",thousand metric tons,1330000.0,1330000.0
20,"Iron and steel:Iron ore:Usable ore, gross weight",thousand metric tons,442000.0,420000.0
21,"Iron and steel:Iron ore:Usable ore, Fe content",thousand metric tons,274000.0,261000.0
22,Iron and steel:Pig iron4,thousand metric tons,640510.0,663500.0
23,Iron and steel:Ferroalloys,thousand metric tons,28400.0,31300.0
24,Iron and steel:Steel:4Crude,thousand metric tons,685280.0,723880.0
25,Iron and steel:Steel:4Rolled,thousand metric tons,886190.0,955780.0
26,"Lead:Mine output, Pb content",thousand metric tons,2400.0,2610.0
27,"Lead:Metal:Smelter, primary",thousand metric tons,3110.0,3120.0
28,Lead:Metal:Refined:Primary,thousand metric tons,3200.0,3220.0
29,Lead:Metal:Refined:Secondary,thousand metric tons,1400.0,1370.0
30,"Magnesium, metal",metric_tons,675000.0,698000.0
31,Manganese:Ore:Gross weight,thousand metric tons,20000.0,20000.0
32,Manganese:Ore:Mn content,thousand metric tons,3800.0,3800.0
33,Manganese:Metal,thousand metric tons,1480.0,1110.0
34,"Mercury, mine output, Hg content",metric_tons,1500.0,1350.0
35,"Molybdenum, mine output, Mo content",metric_tons,103000.0,120000.0
36,"Nickel:Mine output, Ni content",metric_tons,90000.0,93300.0
37,Nickel:Matte,metric_tons,166000.0,153000.0
38,Nickel:Smelter,metric_tons,175000.0,197000.0
39,"Niobium and tantalum, mine output:Nb2O5 content",metric_tons,20.0,21.0
40,"Niobium and tantalum, mine output:Ta2O5 content",metric_tons,53.0,55.0
41,"Palladium, mine output, Pd content",kilograms,850.0,750.0
42,"Platinum, mine output, Pt content",kilograms,1600.0,1400.0
43,"Rhenium, Re content in NH4ReO45 ",kilograms,2100.0,2200.0
44,"Silicon, metal",thousand metric tons,1350.0,1130.0
45,"Silver, mine output, Ag content",metric_tons,3230.0,3640.0
46,"Tin:Mine output, Sn content",metric_tons,94100.0,91000.0
47,Tin:Metal,metric_tons,156000.0,148000.0
48,"Titanium:Ilmenite, TiO2 equivalent ",metric_tons,1330000.0,1800000.0
49,Titanium:Sponge,metric_tons,68000.0,82000.0
50,"Tungsten, mine output, W content",metric_tons,61800.0,64400.0
51,"Vanadium, V2O5 in vanadiferous slag product",metric_tons,65000.0,71000.0
52,"Zinc:Mine output, Zn content",thousand metric tons,4050.0,4860.0
53,Zinc:Refined:Primary,thousand metric tons,5040.0,4770.0
54,Zinc:Refined:Secondary,thousand metric tons,173.0,120.0
55,Asbestos,metric_tons,370000.0,320000.0
56,Barite,thousand metric tons,5540.0,5400.0
57,Bentonite,thousand metric tons,3500.0,4000.0
58,"Boron, mine output, B2O3 equivalent",metric_tons,150000.0,132000.0
59,Bromine,metric_tons,235000.0,160000.0
60,Celestite,metric_tons,116000.0,96000.0
61,"Cement, hydraulic4",million metric tons,2099.0,2210.0
62,"Clays, kaolin",thousand metric tons,3200.0,3300.0
63,Diatomite,metric_tons,187000.0,250000.0
64,Dolomite,thousand metric tons,6320.0,7300.0
65,Feldspar,thousand metric tons,3180.0,3350.0
66,Fluorspar,thousand metric tons,5660.0,5200.0
67,Graphite:Aphanitic,metric_tons,500000.0,150000.0
68,Graphite:Flake,metric_tons,700000.0,650000.0
69,Gypsum:Natural,thousand metric tons,35600.0,35000.0
70,Gypsum:Byproduct,thousand metric tons,169000.0,172000.0
71,Lime,thousand metric tons,186000.0,200000.0
72,"Lithium:Mine output, Li content",metric_tons,2120.0,1900.0
73,Lithium:Lithium carbonate,metric_tons,30000.0,35000.0
74,Lithium:Lithium hydroxide,metric_tons,14000.0,18000.0
75,Lithium:Lithium metal,metric_tons,1700.0,2000.0
76,Magnesite,thousand metric tons,19000.0,16000.0
77,"Mica, natural",metric_tons,71800.0,56000.0
78,"Nitrogen, N content of ammonia4",thousand metric tons,43250.0,45520.0
79,"Phosphate rock, P2O5 equivalent",thousand metric tons,24000.0,28500.0
80,"Potash, marketable, K2O equivalent",thousand metric tons,3800.0,3770.0
81,"Rare earths, rare-earth oxide equivalent",metric_tons,105000.0,100000.0
82,Salt4,thousand metric tons,67420.0,69120.0
83,Sodium compounds:Caustic soda4,thousand metric tons,24740.0,26970.0
84,Sodium compounds:Mirabilite,thousand metric tons,8540.0,7400.0
85,"Sodium compounds:Soda ash, natural and synthetic4",thousand metric tons,22940.0,24010.0
86,"Sulfur, S content:eByproduct, domestic:Nonferrous, metallurgy",thousand metric tons,3270.0,3370.0
87,"Sulfur, S content:eByproduct, domestic:Petroleum and coal chemical industry",thousand metric tons,4770.0,4910.0
88,"Sulfur, S content:ePyrite",thousand metric tons,5660.0,5820.0
89,Talc and related materials,thousand metric tons,2140.0,2060.0
90,Coal:Anthracite,thousand metric tons,450000.0,470000.0
91,Coal:Bituminous,thousand metric tons,2800000.0,2820000.0
92,Coal:Lignite,thousand metric tons,270000.0,371000.0
93,"Coke, all types4",thousand metric tons,432710.0,447790.0
94,"Gas, natural, gross",billion cubic meters,102.0,107.0
95,"Petroleum:Crude, including crude from oil shale",million 42-gallon barrels,1480.0,1510.0
96,Petroleum:Refinery products,million 42-gallon barrels,3170.0,3360.0
97,"Uranium, mine output, U content",metric_tons,885.0,1500.0
