"Aluminum: Bauxite, gross weight",thousand metric tons,2011,45000
Aluminum: Alumina,thousand metric tons,2011,34100
Aluminum: Metal: Primary,thousand metric tons,2011,20100
Aluminum: Metal: Secondary,thousand metric tons,2011,4400
"Antimony: Mine, Sb content",metric tons,2011,150000
Antimony: Metal,metric tons,2011,200000
"Bismuth: Mine output, Bi content",metric tons,2011,1540
Bismuth: Metal,metric tons,2011,15000
"Cadmium, smelter",metric tons,2011,6670
"Chromite, gross weight",thousand metric tons,2011,211
"Cobalt: Mine output, Co content",metric tons,2011,1500
Cobalt: Refined ,metric tons,2011,35000
"Copper: Mine output, Cu content",thousand metric tons,2011,1270
"Copper: Metal: Smelter, primary",thousand metric tons,2011,3030
Copper: Metal: Refined: Primary,thousand metric tons,2011,3390
Copper: Metal: Refined: Secondary,thousand metric tons,2011,1850
Germanium,metric tons,2011,110
"Gold, mine output, Au content",metric tons,2011,362
"Indium, primary and secondary",metric tons,2011,380
"Iron and steel: Iron ore: Crude ore, gross weight",thousand metric tons,2011,1330000
"Iron and steel: Iron ore: Usable ore, gross weight",thousand metric tons,2011,442000
"Iron and steel: Iron ore: Usable ore, Fe content",thousand metric tons,2011,274000
Iron and steel: Pig iron,thousand metric tons,2011,640510
Iron and steel: Ferroalloys,thousand metric tons,2011,28400
Iron and steel: Steel: Crude,thousand metric tons,2011,685280
Iron and steel: Steel: Rolled,thousand metric tons,2011,886190
"Lead: Mine output, Pb content",thousand metric tons,2011,2400
"Lead: Metal: Smelter, primary",thousand metric tons,2011,3110
Lead: Metal: Refined: Primary,thousand metric tons,2011,3200
Lead: Metal: Refined: Secondary,thousand metric tons,2011,1400
"Magnesium, metal",metric tons,2011,675000
Manganese: Ore: Gross weight,thousand metric tons,2011,20000
Manganese: Ore: Mn content,thousand metric tons,2011,3800
Manganese: Metal,thousand metric tons,2011,1480
"Mercury, mine output, Hg content",metric tons,2011,1500
"Molybdenum, mine output, Mo content",metric tons,2011,103000
"Nickel: Mine output, Ni content",metric tons,2011,90000
Nickel: Matte,metric tons,2011,166000
Nickel: Smelter,metric tons,2011,175000
"Niobium and tantalum, mine output: Nb2O5 content",metric tons,2011,20
"Niobium and tantalum, mine output: Ta2O5 content",metric tons,2011,53
"Palladium, mine output, Pd content",kilograms,2011,850
"Platinum, mine output, Pt content",kilograms,2011,1600
"Rhenium, Re content in NH4ReO4",kilograms,2011,2100
"Silicon, metal",thousand metric tons,2011,1350
"Silver, mine output, Ag content",metric tons,2011,3230
"Tin: Mine output, Sn content",metric tons,2011,94100
Tin: Metal,metric tons,2011,156000
"Titanium: Ilmenite, TiO2 equivalent ",metric tons,2011,1330000
Titanium: Sponge,metric tons,2011,68000
"Tungsten, mine output, W content",metric tons,2011,61800
"Vanadium, V2O5 in vanadiferous slag product",metric tons,2011,65000
"Zinc: Mine output, Zn content",thousand metric tons,2011,4050
Zinc: Refined: Primary,thousand metric tons,2011,5040
Zinc: Refined: Secondary,thousand metric tons,2011,173
Asbestos,metric tons,2011,370000
Barite,thousand metric tons,2011,5540
Bentonite,thousand metric tons,2011,3500
"Boron, mine output, B2O3 equivalent",metric tons,2011,150000
Bromine,metric tons,2011,235000
Celestite,metric tons,2011,116000
"Cement, hydraulic4",million metric tons,2011,2099
"Clays, kaolin",thousand metric tons,2011,3200
Diatomite,metric tons,2011,187000
Dolomite,thousand metric tons,2011,6320
Feldspar,thousand metric tons,2011,3180
Fluorspar,thousand metric tons,2011,5660
Graphite: Aphanitic,metric tons,2011,500000
Graphite: Flake,metric tons,2011,700000
Gypsum: Natural,thousand metric tons,2011,35600
Gypsum: Byproduct,thousand metric tons,2011,169000
Lime,thousand metric tons,2011,186000
"Lithium: Mine output, Li content",metric tons,2011,2120
Lithium: Lithium carbonate,metric tons,2011,30000
Lithium: Lithium hydroxide,metric tons,2011,14000
Lithium: Lithium metal,metric tons,2011,1700
Magnesite,thousand metric tons,2011,19000
"Mica, natural",metric tons,2011,71800
"Nitrogen, N content of ammonia",thousand metric tons,2011,43250
"Phosphate rock, P2O5 equivalent",thousand metric tons,2011,24000
"Potash, marketable, K2O equivalent",thousand metric tons,2011,3800
"Rare earths, rare-earth oxide equivalent",metric tons,2011,105000
Salt,thousand metric tons,2011,67420
Sodium compounds: Caustic soda,thousand metric tons,2011,24740
Sodium compounds: Mirabilite,thousand metric tons,2011,8540
"Sodium compounds: Soda ash, natural and synthetic",thousand metric tons,2011,22940
"Sulfur, S content: Byproduct, domestic: Nonferrous, metallurgy",thousand metric tons,2011,3270
"Sulfur, S content: Byproduct, domestic: Petroleum and coal chemical industry",thousand metric tons,2011,4770
"Sulfur, S content: Pyrite",thousand metric tons,2011,5660
Talc and related materials,thousand metric tons,2011,2140
Coal: Anthracite,thousand metric tons,2011,450000
Coal: Bituminous,thousand metric tons,2011,2800000
Coal: Lignite,thousand metric tons,2011,270000
"Coke, all types",thousand metric tons,2011,432710
"Gas, natural, gross",billion cubic meters,2011,102
"Petroleum: Crude, including crude from oil shale",million 42-gallon barrels,2011,1480
Petroleum: Refinery products,million 42-gallon barrels,2011,3170
"Uranium, mine output, U content",metric tons,2011,885
"Aluminum: Bauxite, gross weight",thousand metric tons,2012,47000
Aluminum: Alumina,thousand metric tons,2012,37700
Aluminum: Metal: Primary,thousand metric tons,2012,23500
Aluminum: Metal: Secondary,thousand metric tons,2012,4830
"Antimony: Mine, Sb content",metric tons,2012,136000
Antimony: Metal,metric tons,2012,240000
"Bismuth: Mine output, Bi content",metric tons,2012,2500
Bismuth: Metal,metric tons,2012,15000
"Cadmium, smelter",metric tons,2012,7270
"Chromite, gross weight",thousand metric tons,2012,123
"Cobalt: Mine output, Co content",metric tons,2012,1500
Cobalt: Refined ,metric tons,2012,29800
"Copper: Mine output, Cu content",thousand metric tons,2012,1550
"Copper: Metal: Smelter, primary",thousand metric tons,2012,3600
